SWM Customer ID,Customer Name,Customer Contact,Last Payment Date
SWM000578,Bhawani Khatri,9876543210,11/20/2022
SWM015859,Bikash Khadka,9876543210,1/14/2024
SWM007006,Kiran Kumar Khatri,9876543210,4/15/2024
SWM006993,Ranganath Acharya,9876543210,5/14/2024
SWM006992,Ranganath Acharya,9876543210,7/25/2021
SWM000568,Dhan Kumari Acharya,9876543210,7/16/2022
SWM015863,Shyam,9876543210,1/14/2022
SWM006995,Devendra Thapa,9876543210,6/12/2023
SWM007003,Ramesh KC,9876543210,10/8/2022
SWM007002,Dhurba Khatri,9876543210,5/27/2024
SWM000572,Ranganath Acharya,9876543210,6/2/2023
SWM000573,Lava Pokharel,9876543210,4/2/2023
SWM015858,Badribahadur Kc,9876543210,8/21/2020
SWM000869,Dilip Kumar Khatri,9876543210,7/6/2022
SWM000576,Janak Thapa,9876543210,1/15/2022
SWM000571,Puskar Acharya,9876543210,5/17/2022
SWM000577,Shiva Bahadur Thapa,9876543210,4/15/2020
SWM000587,Kanchi Kc,9876543210,10/7/2021
SWM000586,Kiran Kumar Khatri,9876543210,10/11/2022
SWM000579,Ajaya Acharya,9876543210,12/22/2023
SWM000582,Dhurba Khatri,9876543210,2/25/2024
SWM000569,Bashu Acharya,9876543210,8/22/2022
SWM000567,Krishna Prasad Acharya,9876543210,6/15/2021
SWM000555,Narayan Bisankhey,9876543210,2/28/2022
SWM000559,Makuri Khadka,9876543210,4/16/2020
SWM000554,Sanjit Mijar,9876543210,4/30/2021
SWM000331,Raghunath Poudel,9876543210,4/23/2023
SWM000194,Ambika Sharma Khanal,9876543210,12/14/2023
SWM000195,Rabi Bagoti,9876543210,5/25/2022
SWM000197,Gita Kc,9876543210,6/26/2023
SWM000196,Kamal Thapa,9876543210,8/12/2020
SWM000538,Sankhar lama,9876543210,7/7/2024
SWM000190,Amir Maharjhan,9876543210,11/20/2022
SWM000189,Ambika Prasad Gautam,9876543210,6/14/2020
SWM000199,Sanu Khadka,9876543210,4/15/2023
SWM000182,Rita Shrestha,9876543210,4/9/2020
SWM000161,Bikash Khadka,9876543210,11/12/2020
SWM000116,Umesh Thapa,9876543210,5/21/2022
SWM000160,Badribahadur Kc,9876543210,1/2/2025
SWM000154,Shyam Shresth,9876543210,2/8/2024
SWM015966,Alaichi Maiya Shahi,9876543210,2/21/2022
SWM000120,Sundar Puri,9876543210,3/9/2022
SWM000118,Durlav Thapa,9876543210,3/24/2020
SWM000201,Narayan KC,9876543210,9/13/2022
SWM000157,Deepak Subba,9876543210,7/24/2021
SWM000106,Rajendra Thapa,9876543210,2/1/2021
SWM015864,Mina Himal,9876543210,12/19/2023
SWM000107,Sano Bhai Thapa,9876543210,10/22/2021
SWM000105,Kul Bahadur Lama,9876543210,4/15/2020
SWM000119,Bishnu Prasad Acharye,9876543210,10/19/2022
SWM000153,Babulal Shrestha,9876543210,6/9/2024
SWM000202,Dilip Kumar Khatri,9876543210,7/15/2024
SWM000122,Kabi Raj Budhathoki,9876543210,3/28/2023
SWM000151,Akur Khadka,9876543210,5/4/2020
SWM000133,Prachandra Hari Saran Khadka,9876543210,4/17/2024
SWM000129,Raghunath Poudel,9876543210,6/7/2021
SWM000125,Parlad Budhathoki,9876543210,6/27/2021
SWM000123,Nakul Budhathoki,9876543210,7/14/2020
SWM000134,Sanu Khadka,9876543210,4/10/2022
SWM000111,Aashik Moktang,9876543210,8/2/2022
SWM000145,Ashok Raj Giri,9876543210,2/2/2020
SWM000127,Dhan Kumari Khadka,9876543210,11/22/2021
SWM000113,Govindra Bahadur Thapa,9876543210,9/23/2020
SWM000156,Kanchi Rana,9876543210,11/10/2024
SWM000147,Dinesh Rana Magar,9876543210,10/18/2020
SWM000135,Ram Krishna Rijal,9876543210,1/30/2020
SWM000138,Dipak Kumar Kc,9876543210,7/21/2022
SWM000162,Hari Bhakta Khatri,9876543210,3/10/2024
SWM014901,Narayan Lal Shrestha,9876543210,4/28/2023
SWM000142,Ram Bahadur Khatri,9876543210,9/4/2021
SWM000155,Sanu Nani  Rana Magar,9876543210,2/11/2023
SWM007463,Dhurba Century,9876543210,4/1/2020
SWM000164,Bishnu Hari Khatri,9876543210,3/5/2021
SWM000221,Ambika Regmi,9876543210,7/7/2020
SWM000218,Sankhar lama,9876543210,4/10/2024
SWM000213,Jaya Ram Rana Jagar,9876543210,11/5/2020
SWM000165,Shyam Shrestha,9876543210,4/4/2023
SWM000217,Anil bisunkhey,9876543210,11/11/2024
SWM000214,Badri Rana Magar,9876543210,2/26/2020
SWM000212,Dinesh Rana Magar,9876543210,1/17/2025
SWM000225,Kuber Khatri,9876543210,1/8/2024
SWM000215,Shivasaran Rana Magar,9876543210,10/23/2023
SWM000210,Ashok Raj Giri,9876543210,7/23/2022
SWM000211,Nani Kaji Rana Magar,9876543210,3/5/2024
SWM000227,Narayan Bisankhey,9876543210,5/5/2020
SWM000375,Ramesh Bhandari,9876543210,2/23/2024
SWM000371,Jitendra Shrestha,9876543210,1/21/2021
SWM000372,Pandit Ram Shrestha,9876543210,1/6/2025
SWM000230,Shivakumar Pandey,9876543210,10/13/2021
SWM000233,Sanjit Mijar,9876543210,6/18/2021
SWM000377,Hem Kumari Kc,9876543210,10/20/2022
SWM000386,Sankhar lama,9876543210,5/13/2021
SWM000232,Kuber Khatri,9876543210,9/19/2022
SWM000234,Narayan Bisankhey,9876543210,7/24/2021
SWM014902,Krishna Hari Darsandhari,9876543210,10/31/2024
SWM000236,Krishna Ram Mijar,9876543210,1/25/2022
SWM000381,Bhawani Shrestha,9876543210,10/26/2024
SWM000341,Sukuman Baral,9876543210,6/12/2023
SWM000239,Krishna Prasad Acharya,9876543210,5/22/2020
SWM000343,Sarsawati Magar,9876543210,2/2/2023
SWM000244,Ranganath Acharya,9876543210,8/8/2024
SWM015965,Bachu Ram Khadka,9876543210,1/17/2022
SWM000404,Dilip Kumar Khatri,9876543210,11/26/2021
SWM000403,Narayan KC,9876543210,12/24/2022
SWM000407,Dil Kumar Rashaili,9876543210,9/3/2023
SWM000408,Sarsawati Magar,9876543210,3/11/2021
SWM000248,Janak Thapa,9876543210,8/30/2024
SWM000409,Ram Bahadur Khatri,9876543210,1/2/2023
SWM000410,Jayanti Kc,9876543210,12/16/2024
SWM000349,Dinesh Rana Magar,9876543210,3/12/2023
SWM000416,Badri Rana Magar,9876543210,6/1/2024
SWM014450,Durlav Thapa,9876543210,6/13/2022
SWM000414,Dinesh Rana Magar,9876543210,6/4/2022
SWM000412,Ashok Raj Giri,9876543210,3/6/2020
SWM000413,Nani Kaji Rana Magar,9876543210,10/3/2021
SWM000346,Somnath Poudel,9876543210,5/29/2023
SWM000365,Mukunda KC,9876543210,6/13/2023
SWM000351,Badri Rana Magar,9876543210,7/8/2020
SWM000347,Ashok Raj Giri,9876543210,4/2/2020
SWM000369,Raj Kumar Kc,9876543210,8/8/2022
SWM000367,Shyam Shrestha,9876543210,10/28/2023
SWM000357,Sanu Nani  Rana Magar,9876543210,7/4/2022
SWM000354,Vyas Acharya,9876543210,8/14/2020
SWM000358,Kanchi Rana,9876543210,7/4/2022
SWM000359,Deepak Subba,9876543210,11/9/2021
SWM000267,Bachu Ram Khadka,9876543210,3/14/2021
SWM000361,Rana Bahadur Khatri,9876543210,8/16/2020
SWM000364,Hari Bhakta Khatri,9876543210,6/5/2022
SWM000435,Jayanti Kc,9876543210,4/15/2022
SWM015860,Hari Bhakta Khatri,9876543210,9/18/2020
SWM007005,Kali Khatri,9876543210,12/10/2020
SWM000564,Krishna Ram Mijar,9876543210,11/28/2023
SWM000565,Shivakumar Pandey,9876543210,9/11/2022
SWM006994,Ranganath Acharya,9876543210,4/2/2021
SWM014483,Akur Khadka,9876543210,5/22/2023
SWM014484,Vyas Acharya,9876543210,11/17/2023
SWM000574,Tulasa Acharya,9876543210,10/11/2021
