Tax Code,Owner Name,Owner Contact,Last Payment Date
T011762,Bhawani Khatri,9876543210,5/2/2022
T009137,Bikash Khadka,9876543210,1/20/2024
T009569,Kiran Kumar Khatri,9876543210,12/10/2023
T010639,Ranganath Acharya,9876543210,12/7/2024
T010691,Ranganath Acharya,9876543210,3/30/2022
T011948,Dhan Kumari Acharya,9876543210,5/15/2024
T010880,Shyam,9876543210,6/10/2020
T010894,Devendra Thapa,9876543210,2/18/2021
T010933,Ramesh KC,9876543210,8/26/2021
T011100,Dhurba Khatri,9876543210,3/19/2020
T011615,Ranganath Acharya,9876543210,12/25/2023
T011647,Lava Pokharel,9876543210,8/3/2024
T011687,Badribahadur Kc,9876543210,1/15/2025
T011689,Dilip Kumar Khatri,9876543210,4/15/2020
T011701,Janak Thapa,9876543210,10/12/2024
T011714,Puskar Acharya,9876543210,8/2/2021
T011743,Shiva Bahadur Thapa,9876543210,8/5/2020
T011745,Kanchi Kc,9876543210,6/18/2021
T011789,Kiran Kumar Khatri,9876543210,4/26/2021
T011799,Ajaya Acharya,9876543210,8/15/2020
T011816,Dhurba Khatri,9876543210,4/29/2022
T011848,Bashu Acharya,9876543210,9/25/2021
T011862,Krishna Prasad Acharya,9876543210,7/6/2024
T011873,Narayan Bisankhey,9876543210,9/25/2021
T011882,Makuri Khadka,9876543210,6/30/2021
T011908,Sanjit Mijar,9876543210,6/2/2021
T011925,Raghunath Poudel,9876543210,2/5/2022
T012218,Ambika Sharma Khanal,9876543210,3/28/2023
T012257,Rabi Bagoti,9876543210,2/10/2023
T012272,Gita Kc,9876543210,5/25/2022
T012294,Kamal Thapa,9876543210,3/12/2020
T012471,Sankhar lama,9876543210,2/23/2023
T012622,Amir Maharjhan,9876543210,3/4/2021
T012709,Ambika Prasad Gautam,9876543210,5/3/2021
T012767,Sanu Khadka,9876543210,12/2/2024
T012774,Rita Shrestha,9876543210,4/3/2022
T012839,Bikash Khadka,9876543210,10/18/2020
T012841,Umesh Thapa,9876543210,6/17/2020
T012858,Badribahadur Kc,9876543210,10/25/2023
T012869,Shyam Shresth,9876543210,2/19/2020
T012871,Alaichi Maiya Shahi,9876543210,10/21/2022
T012887,Sundar Puri,9876543210,6/19/2021
T012888,Durlav Thapa,9876543210,1/23/2024
T012892,Narayan KC,9876543210,12/24/2024
T012895,Deepak Subba,9876543210,3/10/2024
T012902,Rajendra Thapa,9876543210,10/16/2020
T012914,Mina Himal,9876543210,10/19/2022
T012915,Sano Bhai Thapa,9876543210,7/28/2020
T012916,Kul Bahadur Lama,9876543210,6/3/2023
T012925,Bishnu Prasad Acharye,9876543210,11/2/2024
T012927,Babulal Shrestha,9876543210,2/12/2022
T012935,Dilip Kumar Khatri,9876543210,10/7/2021
T012945,Kabi Raj Budhathoki,9876543210,10/30/2023
T012951,Akur Khadka,9876543210,11/23/2024
T012971,Prachandra Hari Saran Khadka,9876543210,11/23/2021
T012982,Raghunath Poudel,9876543210,7/4/2022
T012985,Parlad Budhathoki,9876543210,9/23/2024
T013002,Nakul Budhathoki,9876543210,9/19/2024
T013014,Sanu Khadka,9876543210,8/28/2024
T013028,Aashik Moktang,9876543210,7/30/2022
T013032,Ashok Raj Giri,9876543210,2/17/2023
T013097,Dhan Kumari Khadka,9876543210,10/3/2023
T013062,Govindra Bahadur Thapa,9876543210,8/29/2024
T013074,Kanchi Rana,9876543210,10/2/2020
T013082,Dinesh Rana Magar,9876543210,5/8/2023
T013086,Ram Krishna Rijal,9876543210,5/15/2021
T013088,Dipak Kumar Kc,9876543210,10/16/2020
T013094,Hari Bhakta Khatri,9876543210,2/14/2021
T013099,Narayan Lal Shrestha,9876543210,11/16/2020
T013100,Ram Bahadur Khatri,9876543210,6/26/2023
T013125,Sanu Nani  Rana Magar,9876543210,4/18/2023
T013167,Dhurba Century,9876543210,5/14/2020
T013172,Bishnu Hari Khatri,9876543210,10/16/2020
T013238,Ambika Regmi,9876543210,11/6/2022
T013276,Sankhar lama,9876543210,1/16/2025
T013303,Jaya Ram Rana Jagar,9876543210,11/11/2023
T013309,Shyam Shrestha,9876543210,2/15/2022
T013318,Anil bisunkhey,9876543210,5/29/2020
T013356,Badri Rana Magar,9876543210,1/8/2025
T013359,Dinesh Rana Magar,9876543210,1/3/2022
T013401,Shivasaran Rana Magar,9876543210,2/2/2024
